Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,811.0,888.0,898.0,919.0,957.0,989.0,1019.0,1028.0,1083.0,1245.0,1557.0,1899.0,2086.0,2272.0,1640.0,1390.0,1556.0
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,1002.0,1106.0,1153.0,1188.0,1226.0,1280.0,1421.0,1518.0,1421.0,1504.0,1866.0,2181.0,2319.0,2382.0,1726.0,1398.0,1561.0
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,499.0,568.0,629.0,655.0,645.0,694.0,716.0,747.0,762.0,878.0,1166.0,1478.0,1704.0,1885.0,1404.0,1238.0,1496.0
1714219,Pop tumani,Папский район,Pop district,Поп тумани,879.0,965.0,1040.0,1091.0,1127.0,1177.0,1118.0,1092.0,1038.0,1124.0,1477.0,1959.0,2169.0,2347.0,2002.0,1832.0,2007.0
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,738.0,808.0,894.0,934.0,976.0,1038.0,1098.0,1130.0,1169.0,1320.0,1577.0,1931.0,2125.0,2325.0,1836.0,1536.0,1693.0
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,679.0,717.0,780.0,798.0,833.0,893.0,967.0,995.0,1129.0,1309.0,1635.0,2046.0,2256.0,2393.0,1657.0,1423.0,1581.0
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,833.0,914.0,927.0,880.0,942.0,918.0,959.0,985.0,995.0,1080.0,1421.0,1784.0,2044.0,2389.0,1927.0,1340.0,1643.0
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,710.0,805.0,730.0,745.0,774.0,762.0,812.0,842.0,977.0,1086.0,1365.0,1675.0,1977.0,2233.0,1756.0,1515.0,1739.0
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,957.0,1046.0,1173.0,1201.0,1245.0,1354.0,1449.0,1490.0,1559.0,1701.0,2104.0,2548.0,2649.0,3016.0,2382.0,2037.0,2274.0
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,657.0,735.0,816.0,811.0,822.0,845.0,867.0,888.0,941.0,1019.0,1293.0,1580.0,1740.0,1945.0,1469.0,1354.0,1602.0
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,15161.0,15300.0,17223.0,16497.0,17403.0,17610.0,18553.0,19435.0,21061.0,25066.0,31354.0,38946.0,46667.0,54163.0,43477.0,37514.0,41091.0
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,5496.0,4702.0,5194.0,5106.0,5349.0,5247.0,5471.0,5988.0,6770.0,7848.0,9538.0,11605.0,13414.0,15309.0,12120.0,11266.0,12363.0
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,516.0,564.0,600.0,583.0,622.0,636.0,619.0,628.0,709.0,914.0,1097.0,1326.0,1531.0,1723.0,1467.0,1240.0,1320.0
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,426.0,468.0,568.0,557.0,575.0,621.0,679.0,747.0,796.0,985.0,1171.0,1515.0,1945.0,2322.0,1925.0,1479.0,1629.0
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,501.0,555.0,636.0,655.0,704.0,662.0,725.0,764.0,783.0,920.0,1162.0,1480.0,1891.0,2296.0,1869.0,1622.0,1720.0
1718209,Jomboy tumani,Джамбайский район,Jomboy district,Жомбой тумани,536.0,594.0,640.0,597.0,607.0,608.0,648.0,634.0,658.0,848.0,1174.0,1521.0,1885.0,2181.0,1824.0,1431.0,1548.0
1718212,Ishtixon tumani,Иштыханский район,Ishtykhan district,Иштихон тумани,618.0,607.0,764.0,743.0,804.0,888.0,947.0,966.0,1020.0,1281.0,1664.0,2059.0,2513.0,2919.0,2167.0,1583.0,1930.0
1718215,Kattaqo‘rg‘on tumani,Каттакурганский район,Kattakurgan district,Каттақўрғон тумани,695.0,810.0,884.0,753.0,879.0,869.0,896.0,934.0,978.0,1164.0,1489.0,1911.0,2428.0,2804.0,2244.0,1845.0,2013.0
