Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,30.4,50.1,64.8,131.2,133.7,212.2,282.1,277.6,315.3,405.8,474.1,600.1,536.0
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,5.4,6.1,15.0,79.8,81.4,130.1,176.1,181.4,187.7,232.7,269.1,311.9,331.5
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,32.3,43.7,81.9,120.0,132.3,194.7,248.4,300.9,380.6,559.2,701.5,879.0,495.9
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,5.8,7.8,9.4,66.2,57.7,108.9,138.3,139.2,183.4,205.0,222.9,233.8,248.9
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,1.3,2.4,4.0,12.7,13.1,21.5,26.1,25.4,30.3,32.3,34.2,44.4,33.3
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,5.2,5.7,6.0,37.4,38.6,62.7,72.0,74.0,79.2,104.4,110.9,119.0,88.1
1712251,Xatirchi tumani,Хатырчинский район,Khatyrchi district,Хатирчи тумани,18.4,27.0,29.5,177.8,180.5,294.5,345.6,349.4,379.1,497.0,552.5,597.3,514.5
1714,Namangan viloyati,Наманганская область,Namangan region,Наманган вилояти,581.8,774.5,968.6,1113.1,1413.1,2098.1,2413.4,3090.5,4135.6,6030.0,6442.2,8303.8,7696.0
1714401,Namangan shahri,Город Наманган,Namangan city,Наманган шаҳри,306.8,416.7,491.1,498.3,603.5,1091.1,1341.9,1567.8,2130.4,2383.3,2728.4,3999.6,3375.0
1714204,Mingbuloq tumani,Мингбулакский район,Mingbulak district,Мингбулоқ тумани,4.1,5.4,6.6,8.1,14.0,25.5,29.9,31.2,36.4,64.8,398.9,346.9,144.3
1714207,Kosonsoy tumani,Касансайский район,Kasansay district,Косонсой тумани,20.1,18.8,21.9,34.5,51.7,84.2,103.5,138.7,212.0,293.7,307.7,521.3,716.0
1714212,Namangan tumani,Наманганский район,Namangan district,Наманган тумани,47.8,56.8,104.4,126.6,152.6,178.1,228.4,326.6,529.3,680.0,926.1,685.7,519.9
1714216,Norin tumani,Нарынский район,Naryn district,Норин тумани,6.7,6.5,31.2,40.8,45.7,49.7,48.4,61.4,71.0,271.3,95.1,117.7,95.9
1714219,Pop tumani,Папский район,Pop district,Поп тумани,9.4,27.6,44.2,48.9,62.1,81.9,83.7,107.0,126.1,235.7,281.9,289.2,283.7
1714224,To‘raqo‘rg‘on tumani,Туракурганский район,Turakurgan district,Тўрақўрғон тумани,14.3,8.7,33.3,41.3,68.8,102.4,125.6,307.4,348.2,591.7,343.6,596.2,852.1
1714229,Uychi tumani,Уйчинский район,Uychi district,Уйчи тумани,20.9,32.9,30.2,55.8,97.9,89.8,94.5,108.6,154.2,522.0,232.6,337.0,279.7
1714234,Uchqo‘rg‘on tumani,Учкурганский район,Uchkurgan district,Учқўрғон тумани,91.0,107.8,102.0,111.2,133.3,131.8,122.4,157.1,210.0,511.8,360.0,368.7,357.2
1714236,Chortoq tumani,Чартакский район,Chartak district,Чортоқ тумани,19.8,13.6,17.2,21.7,34.1,71.1,73.6,68.5,69.2,113.9,172.6,263.1,320.6
1714237,Chust tumani,Чустский район,Chust district,Чуст тумани,22.3,32.9,38.6,65.7,73.7,72.4,101.6,141.8,163.8,233.9,402.9,538.4,505.3
1714242,Yangiqo‘rg‘on tumani,Янгикурганский район,Yangikurgan district,Янгиқўрғон тумани,18.4,46.7,48.0,60.1,75.6,120.1,59.8,74.2,85.0,128.0,192.5,239.9,246.2
1718,Samarqand viloyati,Самаркандская область,Samarkand region,Самарқанд вилояти,1412.4,1736.3,2070.7,2484.0,3242.3,3829.9,5079.8,5919.2,7848.2,8745.3,11836.0,14381.9,9896.6
1718401,Samarqand shahri,Город Самарканд,Samarkand city,Самарқанд шаҳри,938.6,1131.7,1227.5,1503.5,1679.2,2212.9,2019.4,2295.1,3463.6,3767.0,4758.6,5487.5,3069.7
1718406,Kattaqo'rg'on shahar,Город  Каттакурган,Kattaqo'rg'on city,Каттақўрғон шаҳар,42.0,54.6,64.5,79.8,96.2,115.4,113.5,129.7,104.5,168.2,247.5,326.7,123.1
1718203,Oqdaryo tumani,Акдарьинский район,Akdarya district,Оқдарё тумани,10.2,12.1,20.6,28.7,53.6,53.8,114.6,145.7,121.8,138.4,309.4,318.5,184.7
1718206,Bulung‘ur tumani,Булунгурский район,Bulungur district,Булунғур тумани,10.9,15.2,34.9,47.5,101.6,102.1,303.5,399.1,484.2,510.7,445.0,499.1,577.1
